offer_id,invite_id,invite_created_at,invite_invitation_state,invite_state,invite_first_viewed_at,invite_material_id,invite_min_deal_quantity_kg,invite_max_deal_quantity_kg,selling_company_id,buying_org_id
95756,95753,2020-03-11 09:48:31.537355+00:00,INVALID,EXPIRED,,558846,0.0,34400.0,12233,12313
95763,95760,2020-03-11 09:51:09.569880+00:00,INVALID,EXPIRED,,2823261,0.0,36000.0,12233,12272
95806,95767,2020-03-11 09:55:05.110290+00:00,INVALID,EXPIRED,2020-03-16 11:34:58.190000+00:00,87462529,0.0,79200.0,12233,12329
95806,95770,2020-03-11 09:55:16.232493+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,12314
95806,95773,2020-03-11 09:55:26.679722+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,14851
95806,95776,2020-03-11 09:55:36.366892+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,12316
95806,95779,2020-03-11 09:55:48.595175+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,12299
95806,95782,2020-03-11 09:55:58.137322+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,14660
95806,95785,2020-03-11 09:56:07.670570+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,14670
95806,95788,2020-03-11 09:56:41.074943+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,12334
95806,95791,2020-03-11 09:56:51.976841+00:00,ORDERED,EXPIRED,2020-03-19 10:57:44.528000+00:00,87462529,0.0,79200.0,12233,12313
95806,95794,2020-03-11 09:57:04.681875+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,12270
95806,95800,2020-03-11 09:57:17.346326+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,64997
95806,95803,2020-03-11 09:57:28.098056+00:00,INVALID,EXPIRED,,87462529,0.0,79200.0,12233,14683
95900,95812,2020-03-11 10:00:51.850886+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,21179
95900,95815,2020-03-11 10:01:04.880674+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12300
95900,95818,2020-03-11 10:01:14.601098+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,14839
95900,95821,2020-03-11 10:01:24.684985+00:00,INVALID,EXPIRED,2020-03-17 05:44:01.414000+00:00,87461670,0.0,79200.0,12233,12333
95900,95824,2020-03-11 10:01:34.602002+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12318
95900,95828,2020-03-11 10:01:44.121549+00:00,INVALID,EXPIRED,2020-03-16 09:49:01.828000+00:00,87461670,0.0,79200.0,12233,12277
95900,95831,2020-03-11 10:01:55.299745+00:00,INVALID,EXPIRED,,87461670,0.0,79200.0,12233,12944
