offer_id,offer_created_at,offer_valid_from,offer_valid_until,offer_state,offer_national_currency,offer_total_quantity_kg,transaction_type,seller_user_id,unit_price_nationalcurrency
102016,2020-03-24 08:30:47.595879+00:00,2020-03-24 08:45:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,220000,fixed_price_offer,8764,1.68
102023,2020-03-24 08:32:42.932218+00:00,2020-03-24 08:45:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,20000,fixed_price_offer,8764,1.81
102037,2020-03-24 08:59:43.455261+00:00,2020-03-24 09:05:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,36000,fixed_price_offer,8764,1.95
102054,2020-03-24 09:10:13.103889+00:00,2020-03-24 09:15:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,27000,fixed_price_offer,8764,2.5
102060,2020-03-24 09:18:19.344484+00:00,2020-03-24 12:00:00+00:00,2020-03-31 15:00:00+00:00,COMPLETED,EUR,75000,fixed_price_offer,19543,1.76
102066,2020-03-24 09:23:50.795884+00:00,2020-03-24 09:30:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,27000,fixed_price_offer,8764,2.5
102079,2020-03-24 09:35:10.257102+00:00,2020-03-24 10:00:00+00:00,2020-03-31 15:00:00+00:00,COMPLETED,EUR,4400,fixed_price_offer,93417,2.93
102085,2020-03-24 09:45:55.515282+00:00,2020-03-25 08:00:00+00:00,2020-03-27 15:00:00+00:00,COMPLETED,EUR,960,fixed_price_offer,8764,6.560416666666667
102090,2020-03-24 09:48:21.943448+00:00,2020-03-25 08:00:00+00:00,2020-03-27 15:00:00+00:00,COMPLETED,EUR,960,fixed_price_offer,8764,3.4
102098,2020-03-24 09:58:48.789368+00:00,2020-03-25 08:00:00+00:00,2020-03-27 15:00:00+00:00,COMPLETED,EUR,8000,fixed_price_offer,8764,4.4
10211,2019-08-23 09:38:55.035820+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,174000,fixed_price_offer,2776,1.7
102145,2020-03-24 13:22:10.575769+00:00,2020-03-24 13:30:00+00:00,2020-04-30 16:00:00+00:00,COMPLETED,EUR,48000,fixed_price_offer,16628,1.65
10217,2019-08-23 09:41:06.908513+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,22000,fixed_price_offer,2776,1.5
